,from,to,weight,effdistance
250,Spain,Bolivia,0.011096664,5.501
251,Spain,Lithuania,0.003564254,6.637
252,Spain,Germany,0.032554667999999995,4.425
253,Spain,Spain,0.691474494,1.369
254,Spain,UnitedKingdom,0.237261145,2.439
255,Algeria,France,1.0,1.0
256,Morocco,France,0.845635672,1.168
257,Morocco,Germany,0.154364328,2.868
258,Egypt,Egypt,0.001551849,7.468
259,Egypt,Kuwait,0.976080823,1.024
260,Egypt,Germany,0.006954757,5.968
261,Egypt,Turkey,0.015412572,5.173
262,Kuwait,Egypt,0.918299422,1.085
263,Kuwait,Germany,0.081700578,3.505
264,LibyanArabJamahiriya,Turkey,1.0,1.0
265,Tunisia,Germany,0.167471853,2.787
266,Tunisia,France,0.832528147,1.183
267,SouthSudan,Sudan,1.0,1.0
268,Sudan,SouthSudan,0.542771873,1.611
269,Sudan,Germany,0.45722812700000004,1.783
270,Botswana,SouthAfrica,1.0,1.0
271,Namibia,Germany,1.0,1.0
272,Coted'Ivoire,France,1.0,1.0
273,Nigeria,Germany,0.002432943,7.019
274,Nigeria,Nigeria,0.9390814470000001,1.063
275,Nigeria,Lebanon,0.056668105,3.871
276,Nigeria,UnitedKingdom,0.001817505,7.31
277,Ghana,UnitedKingdom,0.7058667470000001,1.348
278,Ghana,Ghana,0.294133253,2.224
279,Gambia,Belgium,1.0,1.0
280,Mali,France,1.0,1.0
281,CapeVerde,Germany,0.157975857,2.845
282,CapeVerde,France,0.842024143,1.172
283,Guinea,France,1.0,1.0
284,Benin,France,1.0,1.0
285,Senegal,Belgium,1.0,1.0
286,SierraLeone,UnitedKingdom,1.0,1.0
287,Lebanon,Nigeria,0.394543353,1.93
288,Lebanon,Germany,0.015273972,5.182
289,Lebanon,UnitedArabEmirates,0.590182675,1.527
290,Togo,France,1.0,1.0
291,Niger,France,1.0,1.0
292,Mauritania,France,1.0,1.0
293,BurkinaFaso,Belgium,1.0,1.0
294,Liberia,Belgium,1.0,1.0
297,DominicanRepublic,Germany,0.471740654,1.751
298,DominicanRepublic,USA,0.20030271,2.608
299,DominicanRepublic,Canada,0.238311684,2.434
300,Aruba,Netherlands,1.0,1.0
301,Barbados,Germany,0.6385044679999999,1.449
302,Barbados,StVincentandtheGrenadines,0.361495532,2.018
303,Bonaire,Netherlands,1.0,1.0
304,PuertoRico,USA,1.0,1.0
305,USA,PuertoRico,0.006579466,6.024
306,USA,Bahamas,0.005932649,6.127
307,USA,CaymanIslands,0.002581411,6.959
309,USA,Jamaica,0.004524355,6.398
310,USA,Haiti,0.002250309,7.097
311,USA,TurksandCaicosIslands,0.0029245609999999996,6.835
312,USA,TrinidadandTobago,0.009603771,5.646
314,USA,DominicanRepublic,0.001358686,7.601
316,USA,SaintLucia,0.006104496,6.099
317,USA,Mexico,0.037972794,4.271
318,USA,Belize,0.00332838,6.705
319,USA,Guatemala,0.006660665,6.012
320,USA,CostaRica,0.009555355,5.651
321,USA,Nicaragua,0.003128655,6.767
322,USA,Panama,0.015185839,5.187
323,USA,Honduras,0.005845036,6.142
324,USA,ElSalvador,0.018824703999999998,4.973
325,USA,Paraguay,0.015666889,5.156
326,USA,Colombia,0.026245502999999996,4.64
327,USA,Venezuela,0.010235372,5.582
328,USA,Brazil,0.015036376,5.197
329,USA,Guyana,0.007269679,5.924
330,USA,Peru,0.020677538999999998,4.879
331,USA,Bolivia,0.02651557,4.63
332,USA,Uruguay,0.011987147,5.424
333,USA,Ecuador,0.016582937,5.099
334,USA,USA,0.021370259,4.846
335,USA,Germany,0.0028565220000000002,6.858
336,USA,Bermuda,0.005942608,6.126
337,USA,UnitedKingdom,0.030764421,4.481
338,USA,France,0.041733837999999995,4.176
339,USA,Netherlands,0.042108297999999995,4.168
340,USA,Iceland,0.229284668,2.473
341,USA,Canada,0.008542439,5.763
342,USA,NewZealand,0.18354257100000002,2.695
343,USA,Fiji,0.049276596,4.01
344,USA,FrenchPolynesia,0.008031688,5.824
345,USA,CookIslands,0.069972247,3.66
